Position,Len,Field,Start,End,col_type
8,1,LATEREC,8,8,n
9-12,4,DOB_YY,9,12,n
13-14,2,DOB_MM,13,14,c
19-22,4,DOB_TT,19,22,c
23,1,DOB_WK,23,23,n
32,1,BFACIL,32,32,n
33,1,F_BFACIL,33,33,l
50,1,BFACIL3,50,50,f
73,1,MAGEIMP,73,73,l
74,1,MAGEREP,74,74,l
75-76,2,MAGER,75,76,c
77-78,2,MAGER14,77,78,c
79,1,MAGER9,79,79,n
84,1,MBSTATE_REC,84,84,n
104,1,RESTATUS,104,104,n
105-106,2,MRACE31,105,106,c
107,1,MRACE6,107,107,n
108-109,2,MRACE15,108,109,c
110,1,MBRACE,110,110,f
111,1,MRACEIMP,111,111,n
115,1,MHISP_R,115,115,n
116,1,F_MHISP,116,116,l
117,1,MRACEHISP,117,117,n
119,1,MAR_P,119,119,c
120,1,DMAR,120,120,n
121,1,MAR_IMP,121,121,l
123,1,F_MAR_P,123,123,l
124,1,MEDUC,124,124,n
126,1,F_MEDUC,126,126,l
142,1,FAGERPT_FLG,142,142,l
147-148,2,FAGECOMB,147,148,n
149-150,2,FAGE11,149,150,c
151-152,2,FRACE31,151,152,c
153,1,FRACE6,153,153,n
154-155,2,FRACE15,154,155,n
156,1,FBRACE,156,156,f
160,1,FHISP_R,160,160,n
161,1,F_FHISP,161,161,l
162,1,FRACEHISP,162,162,n
163,1,FEDUC,163,163,n
165,1,F_FEDUC,165,165,l
171-172,2,PRIORLIVE,171,172,c
173-174,2,PRIORDEAD,173,174,c
175-176,2,PRIORTERM,175,176,c
179,1,LBO_REC,179,179,n
182,1,TPO_REC,182,182,n
198-200,3,ILLB_R,198,200,c
201-202,2,ILLB_R11,201,202,c
206-208,3,ILOO_R,206,208,c
209-210,2,ILOO_R11,209,210,c
214-216,3,ILP_R,214,216,c
217-218,2,ILP_R11,217,218,c
224-225,2,PRECARE,224,225,c
226,1,F_MPCB,226,226,l
227,1,PRECARE5,227,227,n
238-239,2,PREVIS,238,239,c
242-243,2,PREVIS_REC,242,243,c
244,1,F_TPCV,244,244,l
251,1,WIC,251,251,c
252,1,F_WIC,252,252,l
253-254,2,CIG_0,253,254,n
255-256,2,CIG_1,255,256,n
257-258,2,CIG_2,257,258,n
259-260,2,CIG_3,259,260,n
261,1,CIG0_R,261,261,n
262,1,CIG1_R,262,262,n
263,1,CIG2_R,263,263,n
264,1,CIG3_R,264,264,n
265,1,F_CIGS_0,265,265,l
266,1,F_CIGS_1,266,266,l
267,1,F_CIGS_2,267,267,l
268,1,F_CIGS_3,268,268,l
269,1,CIG_REC,269,269,c
270,1,F_TOBACO,270,270,l
280-281,2,MHTR,280,281,n
282,1,F_M_HT,282,282,l
283-286,4,BMI,283,286,n
287,1,BMI_R,287,287,n
292-294,3,PWgt_R,292,294,n
295,1,F_PWGT,295,295,l
299-301,3,DWGT_R,299,301,n
303,1,F_DWGT,303,303,l
304-305,2,WTGAIN,304,305,n
306,1,WTGAIN_REC,306,306,n
307,1,F_WTGAIN,307,307,l
313,1,RF_PDIAB,313,313,c
314,1,RF_GDIAB,314,314,c
315,1,RF_PHYPE,315,315,c
316,1,RF_GHYPE,316,316,c
317,1,RF_EHYPE,317,317,c
318,1,RF_PPB,318,318,c
319,1,F_RF_PDIAB,319,319,l
320,1,F_RF_GDIAB,320,320,l
321,1,F_RF_PHYPE,321,321,l
322,1,F_RF_GHYPE,322,322,l
323,1,F_RF_EHYPE,323,323,l
